date,portfolio_value,USDT_balance,BTC_balance,BTC_price,ETH_balance,BNB_balance,SOL_balance,other_balance,daily_return,cumulative_return
2025-01-02,53654.4299,53654.4299,0.0,96984.79,0.0,0.0,0.0,0.0,,0.0
2025-01-03,61502.1968028,0.0,0.62646,98174.18,0.0,0.0,0.0,0.0,0.14626503193541507,0.14626503193541515
2025-01-04,61531.21443,0.0,0.62646,98220.5,0.0,0.0,0.0,0.0,0.0004718144831972193,0.14680585637906474
2025-01-05,61620.8671206,0.0,0.62646,98363.61,0.0,0.0,0.0,0.0,0.0014570278098766654,0.14847678440433856
2025-01-06,64046.513976,0.0,0.62646,102235.6,0.0,0.0,0.0,0.0,0.039364049367443865,0.19368548124299423
2025-01-07,60738.1849806,0.0,0.62646,96954.61,0.0,0.0,0.0,0.0,-0.05165509861535511,0.13202553999366973
2025-01-08,59551.6697406,0.0,0.62646,95060.61,0.0,0.0,0.0,0.0,-0.01953491432743637,0.10991151805342356
2025-01-09,57980.432885400005,0.0,0.62646,92552.49,0.0,0.0,0.0,0.0,-0.026384429891623817,0.08062713541943724
2025-01-10,59342.1188706,0.0,0.62646,94726.11,0.0,0.0,0.0,0.0,0.02348526765730452,0.10600595293250893
2025-01-11,59263.10973540001,0.0,0.62646,94599.99,0.0,0.0,0.0,0.0,-0.0013314174940783907,0.10453339725821978
2025-01-12,59228.6982876,0.0,0.62646,94545.06,0.0,0.0,0.0,0.0,-0.0005806554525007446,0.10389204391863259
2025-01-13,59223.085206,0.0,0.62646,94536.1,0.0,0.0,0.0,0.0,-9.476962625010188e-05,0.10378742848221001
2025-01-14,60491.516355600004,0.0,0.62646,96560.86,0.0,0.0,0.0,0.0,0.021417849900725816,0.12742818194775007
2025-01-15,62957.569881,0.0,0.62646,100497.35,0.0,0.0,0.0,0.0,0.04076693186038316,0.17338996981868965
2025-01-16,62638.043958,0.0,0.62646,99987.3,0.0,0.0,0.0,0.0,-0.005075258203325772,0.16743471274866717
2025-01-17,65200.3781208,0.0,0.62646,104077.48,0.0,0.0,0.0,0.0,0.04090699518838892,0.21519095892583506
2025-01-18,65500.2958458,0.0,0.62646,104556.23,0.0,0.0,0.0,0.0,0.0045999384304846735,0.22078076251817552
2025-01-19,63480.175342200004,0.0,0.62646,101331.57,0.0,0.0,0.0,0.0,-0.030841395103859304,0.18313018068616177
2025-01-20,64061.8058646,0.0,0.62646,102260.01,0.0,0.0,0.0,0.0,0.009162396279856155,0.1939704882522663
2025-01-21,66494.8574772,0.0,0.62646,106143.82,0.0,0.0,0.0,0.0,0.03797975376689289,0.2393171934010242
